Rank,cca3,Country,Capital,Continent,2023,2022,2020,2010,2015,2000,1990,1980,1970,Area,netChange,GrowthRate,Density,WorldPercentage
46,MYS,Malaysia,Kuala Lumpur,Asia,34308525,33938221,33199993,28717731,31068833,22945150,17517054,13215707,10306508,330803,0.0116,0.0109,104.4241,0.0043
174,MDV,Maldives,Malé,Asia,521021,523787,514438,361575,435582,282507,224957,164887,123243,300,-0.0001,-0.0053,1736.7367,0.0001
58,MLI,Mali,Bamako,Africa,23293698,22593590,21224040,15529181,18112907,11239101,8945026,7372581,6153587,1240192,0.0225,0.031,19.0902,0.0029
173,MLT,Malta,Valletta,Europe,535064,533286,515357,418755,456579,399212,365392,333587,315414,316,0.0001,0.0033,1672.075,0.0001
215,MHL,Marshall Islands,Majuro,Oceania,41996,41569,43413,53416,49410,54224,46047,31988,23969,181,0,0.0103,233.3111,0
180,MTQ,Martinique,Fort-de-France,North America,366981,367507,370391,392181,383515,432543,374271,333786,326428,1128,0,-0.0014,325.3378,0
126,MRT,Mauritania,Nouakchott,Africa,4862989,4736139,4498604,3419461,3946220,2695003,2006027,1506694,1122198,1030700,0.0041,0.0268,4.7181,0.0006
157,MUS,Mauritius,Port Louis,Africa,1300557,1299469,1297828,1283330,1293153,1215930,1090290,954865,830115,2040,0,0.0008,640.6685,0.0002
181,MYT,Mayotte,Mamoudzou,Africa,335995,326101,305587,211786,249545,159215,92659,52233,35383,374,0.0003,0.0303,898.3824,0
10,MEX,Mexico,Mexico City,North America,128455567,127504125,125998302,112532401,120149897,97873442,81720428,67705186,50289306,1964375,0.0299,0.0075,66.0797,0.016
194,FSM,Micronesia,Palikir,Oceania,115224,114164,112106,107588,109462,111709,98603,76299,58989,702,0,0.0093,164.6057,0
134,MDA,Moldova,Chisinau,Europe,3435931,3272996,3084847,3678186,3277388,4251573,4480199,4103240,3711140,33846,-0.0039,0.0498,104.4845,0.0004
217,MCO,Monaco,Monaco,Europe,36297,36469,36922,33178,36760,32465,30329,27076,24270,2.02,0,-0.0047,18148.5,0
133,MNG,Mongolia,Ulaanbaatar,Asia,3447157,3398366,3294335,2702520,2964749,2450979,2161433,1697780,1293880,1564110,0.0015,0.0144,2.2133,0.0004
169,MNE,Montenegro,Podgorica,Europe,626485,627082,629048,631044,633966,633324,621442,589324,530268,13812,0,-0.001,46.5788,0.0001
230,MSR,Montserrat,Brades,North America,4386,4390,4500,4938,5059,5138,10805,11452,11402,102,,-0.0009,43,
39,MAR,Morocco,Rabat,Africa,37840044,37457971,36688772,32464865,34680458,28554415,24570814,19678444,15274351,446550,0.012,0.0102,84.7861,0.0047
48,MOZ,Mozambique,Maputo,Africa,33897354,32969518,31178239,23073723,26843246,17768505,13303459,11413587,8411676,801590,0.0302,0.0281,43.1056,0.0042
27,MMR,Myanmar,Nay Pyi Taw,Asia,54577997,54179306,53423198,49390988,51483949,45538332,40099553,33465781,27284112,676578,0.0125,0.0074,83.6227,0.0068
145,NAM,Namibia,Windhoek,Africa,2604172,2567012,2489098,2099271,2282704,1819141,1369011,975994,754467,825615,0.0012,0.0145,3.1631,0.0003
225,NRU,Nauru,Yaren,Oceania,12780,12668,12315,10241,11185,10377,9598,7635,6663,21,0,0.0088,639,0
49,NPL,Nepal,Kathmandu,Asia,30896590,30547580,29348627,27161567,27610325,24559500,19616530,15600442,12501285,147181,0.011,0.0114,215.5325,0.0039
72,NLD,Netherlands,Amsterdam,Europe,17618299,17564014,17434557,16617117,17041107,15899135,14944548,14130387,13037686,41850,0.0017,0.0031,523.264,0.0022
185,NCL,New Caledonia,Nouméa,Oceania,292991,289950,286403,261426,283032,221537,177264,148599,110982,18575,0.0001,0.0105,16.028,0
123,NZL,New Zealand,Wellington,Oceania,5228100,5185288,5061133,4346338,4590590,3855266,3397389,3147168,2824061,270467,0.0013,0.0083,19.8553,0.0007
106,NIC,Nicaragua,Managua,North America,7046310,6948392,6755895,5855734,6298598,5123222,4227820,3303309,2444767,130373,0.0031,0.0141,58.5533,0.0009
54,NER,Niger,Niamey,Africa,27202843,26207977,24333639,16647543,20128124,11622665,8370647,6173177,4669708,1267000,0.0321,0.038,21.4754,0.0034
6,NGA,Nigeria,Abuja,Africa,223804632,218541212,208327405,160952853,183995785,122851984,95214257,72951439,55569264,923768,0.168,0.0241,245.7312,0.028
232,NIU,Niue,Alofi,Oceania,1935,1934,1942,1812,1847,2074,2533,3637,5185,261,0,0.0005,7.4138,
56,PRK,North Korea,Pyongyang,Asia,26160821,26069416,25867467,24686435,25258015,23367059,20799523,17973650,14996879,120538,0.0028,0.0035,217.2645,0.0033
150,MKD,North Macedonia,Skopje,Europe,2085679,2093599,2111072,2093828,2107962,2037936,2044174,1907023,1656783,25713,-0.0002,-0.0038,82.6994,0.0003
210,MNP,Northern Mariana Islands,Saipan,Oceania,49796,49551,49587,54087,51514,80338,48002,17613,10143,464,0,0.0049,108.2522,0
119,NOR,Norway,Oslo,Europe,5474360,5434319,5379839,4889741,5190356,4491202,4241636,4085776,3875546,323802,0.0013,0.0074,15.0277,0.0007
127,OMN,Oman,Muscat,Asia,4644384,4576298,4543399,2881914,4191776,2344253,1804524,1017462,670693,309500,0.0022,0.0149,15.0061,0.0006
5,PAK,Pakistan,Islamabad,Asia,240485658,235824862,227196741,194454498,210969298,154369924,115414069,80624057,59290872,881912,0.1495,0.0198,311.9625,0.03
222,PLW,Palau,Ngerulmud,Oceania,18058,18055,17972,18540,17794,19726,15293,12252,11366,459,,0.0002,39.2565,0
121,PSE,Palestine,Ramallah,Asia,5371230,5250072,5019401,3992278,4484614,3139954,2124609,1453620,1118241,6220,0.0039,0.0231,892.2309,0.0007
128,PAN,Panama,Panama City,North America,4468087,4408581,4294396,3623617,3957099,3001731,2449968,1956987,1516188,75417,0.0019,0.0135,60.233,0.0006
92,PNG,Papua New Guinea,Port Moresby,Oceania,10329931,10142619,9749640,7583269,8682174,5508297,3864972,3104788,2489059,462840,0.0059,0.0185,22.8104,0.0013
108,PRY,Paraguay,Asunción,South America,6861524,6780744,6618695,5768613,6177950,5123819,4059195,3078912,2408787,406752,0.0027,0.0119,17.2704,0.0009
45,PER,Peru,Lima,South America,34352719,34049588,33304756,29229572,30711863,26654439,22109099,17492406,13562371,1285216,0.0105,0.0089,26.8381,0.0043
13,PHL,Philippines,Manila,Asia,117337368,115559009,112190977,94636700,103031365,77958223,61558898,48419546,37435586,342353,0.0561,0.0154,393.5251,0.0147
37,POL,Poland,Warsaw,Europe,41026067,39857145,38428366,38597353,38553146,38504431,38064255,35521429,32482943,312679,-0.0286,0.0293,134.0152,0.0051
93,PRT,Portugal,Lisbon,Europe,10247605,10270865,10298192,10588401,10365435,10300626,10007346,9785252,8683631,92090,-0.0008,-0.0023,111.8666,0.0013
136,PRI,Puerto Rico,San Juan,North America,3260314,3252407,3271564,3717922,3497335,3827108,3543776,3214568,2737619,8870,0.0003,0.0024,367.5664,0.0004
143,QAT,Qatar,Doha,Asia,2716391,2695122,2760385,1713504,2414573,645937,441675,277450,118007,11586,0.0007,0.0079,236.4135,0.0003
113,COG,Republic of the Congo,Brazzaville,Africa,6106869,5970424,5702174,4437884,5064386,3134030,2385435,1829256,1396989,342000,0.0043,0.0229,17.8825,0.0008
161,REU,Reunion,Saint-Denis,Africa,981796,974052,957822,890130,922495,785424,658992,551674,473925,2511,0.0002,0.008,390.8424,0.0001
64,ROU,Romania,Bucharest,Europe,19892812,19659267,19442038,20335211,19906079,21919876,22836234,22125224,19922618,238391,-0.0103,0.0119,86.4604,0.0025
9,RUS,Russia,Moscow,Europe,144444359,144713314,145617329,143242599,144668389,146844839,148005704,138257420,130093010,17098242,-0.0158,-0.0019,8.82,0.018
76,RWA,Rwanda,Kigali,Africa,14094683,13776698,13146362,10309031,11642959,8109989,7319962,5247532,3896367,26338,0.0101,0.0231,571.3289,0.0018
228,BLM,Saint Barthelemy,Gustavia,North America,10994,10967,10681,8988,9643,7082,5168,2983,2417,21,,0.0025,439.76,0
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47755,47657,47642,47403,47790,45461,40636,43097,44968,261,0,0.0021,183.6731,0
190,LCA,Saint Lucia,Castries,North America,180251,179857,179237,170935,175623,159500,142301,121633,103090,616,0,0.0022,295.4934,0
220,MAF,Saint Martin,Marigot,North America,32077,31791,32552,36458,35020,29610,28127,7776,5802,53,0,0.009,641.54,0
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5840,5862,5906,6052,5978,6274,6324,6106,5537,242,,-0.0038,24.1322,
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103698,103948,104632,109308,106482,113813,112487,107480,98459,389,0,-0.0024,265.8923,0
188,WSM,Samoa,Apia,Oceania,225681,222382,214929,194672,203571,184008,168186,164905,142771,2842,0.0001,0.0148,81.1802,0
